account_id,branch_region,account_balance_kes,transactions_per_month,avg_transaction_amount_kes,years_as_customer,digital_banking_usage_score
1,Nairobi,20714.0,49.5,2526.0,1.9,76.50304880289617
2,Coast,43171.0,7.9,4248.0,6.2,67.44169136868045
3,Nairobi,51082.0,19.8,4999.0,5.4,65.49843937750346
4,Nairobi,45884.0,17.4,3173.0,1.1,100.0
5,Nairobi,726439.0,18.4,31945.0,5.6,60.002901685328276
6,Nairobi,50310.0,25.8,3765.0,6.3,24.18950553968361
7,Coast,2371010.0,7.9,50545.0,6.6,47.81806932072034
8,Rift Valley,53519.0,16.7,6711.0,7.3,69.31749243322034
9,Rift Valley,376446.0,18.8,22270.0,8.1,78.71201088640794
10,Rift Valley,24098.0,0.5,400.0,6.1,58.45041169393001
11,Nairobi,328971.0,7.3,20655.0,10.5,67.83961631719693
12,Other,11505.0,0.3,1256.0,8.3,38.4288985612788
13,Rift Valley,39645.0,40.6,2495.0,0.8,41.83453977166705
14,Nairobi,4795682.0,9.9,104631.0,9.3,50.32517351161374
15,Western,39796.0,10.6,2983.0,5.5,55.11269097413194
16,Nairobi,30199.0,1.7,1079.0,8.1,98.401978555933
17,Rift Valley,636774.0,14.7,20003.0,7.9,79.33093778805424
18,Nairobi,677946.0,10.5,27577.0,2.1,29.272509591306452
19,Western,17769.0,0.0,417.0,5.5,53.23069099300695
20,Other,31270.0,21.5,2383.0,0.9,80.67915579042278
21,Rift Valley,699378.0,14.7,23575.0,8.5,77.99889643255183
22,Rift Valley,31950.0,39.4,2025.0,1.5,64.18500530400564
23,Coast,616268.0,0.2,14061.0,6.0,64.12022570641186
24,Nairobi,393118.0,14.3,20705.0,5.5,68.27573015173884
25,Nairobi,31557.0,30.7,1811.0,2.5,24.903257564637606
26,Nairobi,44634.0,11.7,5519.0,8.6,47.59291365144008
27,Other,56765.0,16.5,2547.0,3.0,39.57450661254088
28,Rift Valley,14301.0,21.4,3304.0,6.6,20.383763415207603
29,Nairobi,1000.0,1.8,860.0,0.1,15.396650563985858
30,Nairobi,27125.0,0.1,776.0,3.9,61.38054195991061
31,Western,38423.0,12.5,3630.0,6.1,73.39416281369641
32,Nairobi,66950.0,25.5,1811.0,5.4,55.14728237145514
33,Rift Valley,4025.0,0.4,1160.0,3.4,49.294649071160904
34,Coast,30333.0,0.8,1270.0,7.4,88.46882613510161
35,Other,47406.0,6.3,2474.0,6.6,100.0
36,Other,38070.0,18.1,1397.0,0.1,40.03939315867428
37,Western,5179959.0,9.1,125761.0,4.0,59.14721406449197
38,Coast,1000.0,20.3,5145.0,5.9,89.6439777650403
39,Nairobi,3391034.0,12.8,61199.0,11.7,73.90931811394877
40,Nairobi,4571603.0,9.9,84254.0,7.7,53.47608371155688
41,Coast,29829.0,28.9,2183.0,2.4,70.35729047190641
42,Coast,27853.0,9.7,2316.0,4.7,35.69463703794547
43,Coast,15156.0,0.6,470.0,9.2,60.09418968692074
44,Nairobi,38519.0,15.8,4539.0,6.7,3.7709754421685204
45,Coast,867790.0,7.6,10892.0,6.8,100.0
46,Rift Valley,31304.0,38.0,905.0,1.9,0.5047422241511939
47,Rift Valley,5940108.0,0.0,105467.0,5.7,77.5435133103544
48,Coast,21907.0,40.4,2749.0,1.7,66.06485990181245
49,Rift Valley,687999.0,16.0,27541.0,7.2,
50,Coast,688174.0,12.0,17116.0,7.2,50.182818127606446
51,Rift Valley,47303.0,26.1,3314.0,7.0,21.798485730318525
52,Coast,33580.0,27.3,2946.0,0.8,17.627935577397167
53,Coast,892654.0,11.8,12667.0,6.2,80.58682762197586
54,Other,34272.0,19.2,3565.0,1.7,34.870456518245334
55,Other,852016.0,13.6,15038.0,2.5,92.57878133870652
56,Rift Valley,60473.0,21.1,2921.0,8.2,67.42279954136264
57,Other,504071.0,16.2,24032.0,10.6,100.0
58,Coast,49573.0,14.3,565.0,2.3,76.17540034300295
59,Western,13696.0,24.6,5058.0,6.0,42.20543888921928
60,Rift Valley,27325.0,0.1,3448.0,4.4,27.95162469999983
61,Nairobi,48231.0,14.9,3974.0,7.5,45.122664047318224
62,Rift Valley,34241.0,21.5,1697.0,2.6,74.30452333384312
63,Rift Valley,25163.0,33.0,2042.0,1.1,53.02396156514506
64,Rift Valley,516024.0,7.8,23256.0,8.1,52.419068225837655
65,Nairobi,4107717.0,7.4,80001.0,16.2,64.1993721043704
66,Coast,627233.0,11.4,29645.0,8.0,47.07780860044399
67,Nairobi,18377.0,11.6,3745.0,6.3,100.0
68,Nairobi,6408.0,0.2,776.0,4.2,69.19034554567277
69,Coast,49164.0,27.9,1540.0,0.4,63.03647007556877
70,Coast,47430.0,14.2,1594.0,0.3,87.3239481139093
