customer_id,preferred_device,recency_days,frequency_per_year,avg_order_value_kes,total_lifetime_spend_kes,num_categories_purchased
1,Desktop,290.0,0.4,2463.0,1821.0,2.0
2,Mobile,289.0,2.2,2704.0,10655.0,1.0
3,Mobile,19.0,20.2,8491.0,318415.0,4.0
4,Mobile,27.0,14.3,5629.0,242350.0,5.0
5,Mobile,101.0,10.3,6443.0,110436.0,4.0
6,Desktop,121.0,10.0,6320.0,131424.0,3.0
7,Mobile,294.0,0.7,1978.0,4547.0,1.0
8,Tablet,311.0,1.4,1697.0,7317.0,1.0
9,Mobile,29.0,24.2,7692.0,483126.0,7.0
10,Desktop,285.0,0.2,1973.0,1344.0,1.0
11,Desktop,19.0,27.3,,367896.0,6.0
12,Desktop,31.0,14.2,3591.0,153120.0,4.0
13,Tablet,31.0,15.2,4434.0,145536.0,4.0
14,Mobile,308.0,1.6,1888.0,8566.0,1.0
15,Desktop,20.0,14.2,4490.0,202736.0,5.0
16,Mobile,13.0,2.4,3384.0,14445.0,2.0
17,Mobile,19.0,21.7,8075.0,318118.0,5.0
18,Desktop,86.0,10.2,5677.0,171917.0,2.0
19,Tablet,27.0,17.8,5183.0,177825.0,5.0
20,Desktop,135.0,10.5,7372.0,206514.0,3.0
21,Mobile,314.0,2.1,2018.0,9329.0,1.0
22,Desktop,3.0,2.5,4059.0,19502.0,3.0
23,Mobile,9.0,25.1,9004.0,406740.0,6.0
24,Mobile,312.0,0.2,3097.0,1933.0,1.0
25,Desktop,7.0,0.2,4850.0,3240.0,1.0
26,Mobile,32.0,18.4,5387.0,319488.0,3.0
27,Desktop,4.0,19.2,3604.0,133508.0,5.0
28,Mobile,155.0,9.3,4498.0,81555.0,2.0
29,Mobile,1.0,2.2,3949.0,13302.0,1.0
30,Desktop,320.0,0.2,2124.0,1000.0,1.0
31,Mobile,13.0,24.5,8471.0,605686.0,5.0
32,Mobile,39.0,14.4,3961.0,135145.0,4.0
33,Mobile,21.0,23.8,9192.0,411052.0,6.0
34,Mobile,12.0,0.6,3656.0,7642.0,1.0
35,Desktop,12.0,3.2,3494.0,30467.0,1.0
36,Mobile,36.0,12.9,3624.0,156954.0,4.0
37,Desktop,291.0,0.6,2605.0,3557.0,1.0
38,Desktop,25.0,3.1,4228.0,22562.0,2.0
39,Mobile,8.0,0.7,4143.0,9889.0,3.0
40,Mobile,33.0,11.5,4111.0,154074.0,5.0
41,Mobile,19.0,22.7,8594.0,354018.0,7.0
42,Desktop,1.0,1.9,3850.0,22106.0,2.0
43,Mobile,23.0,10.8,4901.0,99742.0,3.0
44,Mobile,319.0,0.9,2268.0,6122.0,1.0
45,Desktop,174.0,11.7,5576.0,150647.0,3.0
46,Mobile,38.0,13.5,4854.0,222717.0,5.0
47,Desktop,14.0,27.7,6290.0,474715.0,6.0
48,Mobile,12.0,4.4,4611.0,31800.0,2.0
49,Desktop,24.0,9.5,3588.0,51317.0,5.0
50,Mobile,265.0,1.1,2823.0,10088.0,1.0
51,Mobile,18.0,21.1,8721.0,525163.0,6.0
52,Mobile,30.0,16.4,5202.0,152895.0,3.0
53,Mobile,16.0,22.7,7480.0,401147.0,4.0
54,Mobile,187.0,13.0,5899.0,167969.0,2.0
55,Desktop,20.0,25.8,7690.0,599961.0,5.0
56,Desktop,9.0,1.5,3798.0,11639.0,2.0
57,Mobile,22.0,10.0,5304.0,106702.0,4.0
58,Desktop,141.0,7.1,5998.0,65401.0,2.0
59,Mobile,122.0,13.2,5973.0,191413.0,3.0
60,Desktop,175.0,12.7,7523.0,293358.0,3.0
61,Mobile,13.0,21.4,8122.0,506348.0,6.0
62,Desktop,146.0,10.3,6972.0,111099.0,3.0
63,Desktop,38.0,18.5,4153.0,258197.0,3.0
64,Desktop,5.0,2.1,5145.0,37925.0,1.0
65,Mobile,43.0,14.6,4913.0,188525.0,4.0
66,Tablet,326.0,0.2,1750.0,1000.0,1.0
67,Mobile,34.0,11.1,4322.0,141749.0,4.0
68,Desktop,9.0,1.6,4007.0,19260.0,2.0
69,Tablet,170.0,9.9,6484.0,169009.0,2.0
70,Desktop,23.0,10.4,4407.0,102703.0,4.0
71,Mobile,2.0,2.0,4108.0,18674.0,2.0
72,Desktop,3.0,1.1,4171.0,7958.0,2.0
73,Mobile,163.0,9.6,5297.0,157964.0,4.0
74,Tablet,22.0,15.3,4575.0,155746.0,4.0
75,Mobile,348.0,0.5,2190.0,2103.0,1.0
76,Desktop,19.0,1.7,2778.0,9163.0,3.0
77,Desktop,99.0,7.4,5606.0,82476.0,3.0
78,Mobile,332.0,0.2,2467.0,1299.0,1.0
79,Mobile,108.0,14.3,5100.0,202994.0,2.0
80,Mobile,156.0,7.6,6192.0,154795.0,4.0
81,Mobile,18.0,21.5,7259.0,533442.0,7.0
82,Desktop,21.0,3.3,,45928.0,1.0
83,Mobile,19.0,21.6,8928.0,332448.0,6.0
84,Mobile,14.0,23.7,9150.0,477713.0,7.0
85,Mobile,362.0,0.2,2239.0,1334.0,1.0
86,Mobile,333.0,1.0,2209.0,4246.0,1.0
87,Desktop,22.0,18.8,4477.0,269582.0,3.0
88,Desktop,265.0,0.9,2846.0,7970.0,1.0
89,Mobile,205.0,9.2,5938.0,120569.0,2.0
90,Desktop,296.0,0.2,2464.0,1666.0,1.0
91,Desktop,18.0,3.0,3535.0,20644.0,3.0
92,Mobile,141.0,7.0,5547.0,58738.0,3.0
93,Mobile,7.0,0.5,5128.0,5562.0,2.0
94,Tablet,8.0,24.3,8155.0,686246.0,4.0
95,Desktop,28.0,15.7,4035.0,96674.0,4.0
96,Mobile,356.0,0.8,2737.0,6467.0,1.0
97,Mobile,157.0,10.5,6070.0,120003.0,3.0
98,Mobile,19.0,3.3,3757.0,28674.0,2.0
99,Mobile,150.0,9.1,6307.0,177736.0,3.0
100,Mobile,153.0,8.5,6003.0,154268.0,3.0
101,Desktop,10.0,0.2,3525.0,2441.0,3.0
102,Mobile,102.0,3.3,7002.0,60860.0,1.0
103,Mobile,8.0,1.2,4018.0,16235.0,2.0
104,Mobile,148.0,11.6,5264.0,200673.0,3.0
105,Desktop,139.0,13.2,6155.0,170114.0,3.0
106,Mobile,37.0,11.9,6325.0,164697.0,4.0
107,Desktop,5.0,1.2,4457.0,13114.0,2.0
108,Mobile,11.0,25.1,8809.0,406578.0,6.0
109,Desktop,24.0,14.5,4828.0,239310.0,5.0
110,Tablet,186.0,8.6,5729.0,95477.0,4.0
111,Mobile,175.0,8.5,6799.0,199616.0,3.0
112,Mobile,14.0,1.5,3852.0,14005.0,3.0
113,Tablet,169.0,7.7,6176.0,117928.0,3.0
114,Mobile,134.0,9.8,6043.0,114928.0,3.0
115,Desktop,34.0,10.4,5091.0,110300.0,3.0
116,Mobile,31.0,15.4,6272.0,181500.0,4.0
117,Desktop,315.0,0.2,1943.0,1000.0,1.0
118,Mobile,147.0,5.2,,50145.0,4.0
119,Mobile,179.0,8.0,6693.0,157882.0,3.0
120,Desktop,336.0,4.8,2421.0,30556.0,1.0
121,Mobile,23.0,21.2,7742.0,247768.0,7.0
122,Mobile,40.0,15.4,5291.0,170494.0,3.0
123,Desktop,28.0,12.5,4694.0,121867.0,4.0
124,Desktop,6.0,2.6,4820.0,18737.0,3.0
125,Desktop,134.0,10.3,5647.0,183164.0,2.0
126,Mobile,31.0,12.8,5767.0,256992.0,4.0
127,Desktop,22.0,18.7,5813.0,344912.0,4.0
128,Mobile,309.0,1.1,2999.0,11005.0,1.0
129,Mobile,22.0,18.4,4563.0,246353.0,4.0
130,Mobile,9.0,0.7,3613.0,7581.0,2.0
131,Desktop,25.0,21.0,8149.0,580031.0,7.0
132,Tablet,12.0,1.3,4123.0,15639.0,2.0
133,Mobile,313.0,0.5,1827.0,2123.0,1.0
134,Tablet,28.0,19.2,8480.0,421693.0,6.0
135,Mobile,16.0,1.8,3408.0,18769.0,3.0
136,Mobile,26.0,21.2,4420.0,226436.0,5.0
137,Desktop,105.0,9.3,6729.0,205010.0,3.0
138,Desktop,33.0,15.1,5318.0,129192.0,3.0
139,Mobile,237.0,1.7,1799.0,5108.0,1.0
140,Mobile,10.0,2.7,4390.0,29205.0,1.0
141,Mobile,139.0,9.0,6383.0,183376.0,4.0
142,Desktop,300.0,3.2,2805.0,20659.0,1.0
143,Desktop,286.0,2.6,2273.0,17638.0,2.0
144,Desktop,34.0,15.2,3822.0,157426.0,3.0
145,Desktop,16.0,1.5,4138.0,19311.0,1.0
146,Mobile,252.0,1.2,2520.0,8779.0,1.0
147,Mobile,2.0,1.7,3934.0,11129.0,2.0
148,Desktop,21.0,12.6,5977.0,207185.0,5.0
149,Desktop,294.0,0.6,3931.0,6728.0,1.0
150,Mobile,24.0,10.8,5159.0,193471.0,4.0
151,Desktop,141.0,8.0,6041.0,79772.0,3.0
152,Tablet,14.0,18.2,5458.0,344889.0,4.0
153,Mobile,199.0,12.9,7137.0,267243.0,4.0
154,Desktop,132.0,12.6,4635.0,174170.0,3.0
155,Mobile,40.0,8.8,5441.0,72359.0,4.0
156,Mobile,155.0,9.8,6429.0,203279.0,3.0
157,Mobile,306.0,0.4,2499.0,2374.0,1.0
158,Desktop,324.0,1.8,2884.0,14704.0,1.0
159,Mobile,10.0,2.2,3761.0,27606.0,2.0
160,Desktop,161.0,15.3,5872.0,261946.0,5.0
161,Tablet,16.0,2.6,4289.0,35210.0,2.0
162,Mobile,128.0,10.8,6175.0,212976.0,4.0
163,Desktop,357.0,0.2,2264.0,1080.0,1.0
164,Mobile,323.0,0.8,2512.0,3409.0,1.0
165,Desktop,145.0,13.8,5415.0,244307.0,3.0
166,Mobile,311.0,0.2,2129.0,1488.0,1.0
167,Mobile,28.0,13.4,5299.0,159063.0,3.0
168,Desktop,290.0,0.2,,2113.0,2.0
169,Mobile,126.0,6.0,5577.0,115589.0,2.0
170,Desktop,117.0,9.7,5830.0,154882.0,2.0
171,Mobile,7.0,2.9,4127.0,41194.0,2.0
172,Mobile,318.0,1.7,2215.0,6622.0,1.0
173,Mobile,8.0,22.2,8208.0,404313.0,7.0
174,Desktop,133.0,12.4,6544.0,229586.0,4.0
175,Mobile,150.0,10.1,5919.0,178334.0,3.0
176,Desktop,142.0,10.8,6478.0,126396.0,2.0
177,Desktop,103.0,9.6,6571.0,178645.0,4.0
178,Mobile,342.0,1.1,1796.0,4751.0,1.0
179,Desktop,11.0,2.8,3816.0,28033.0,2.0
180,Mobile,47.0,14.5,5209.0,200037.0,3.0
181,Mobile,23.0,18.0,7804.0,452608.0,6.0
182,Mobile,28.0,16.0,4413.0,202389.0,5.0
183,Desktop,36.0,11.6,4725.0,89740.0,6.0
184,Desktop,232.0,1.1,2254.0,4100.0,1.0
185,Mobile,306.0,1.0,2616.0,5016.0,1.0
186,Mobile,28.0,23.6,7743.0,464720.0,5.0
187,Mobile,40.0,19.0,5753.0,189713.0,5.0
188,Tablet,24.0,10.5,4425.0,139308.0,3.0
189,Desktop,6.0,2.4,3460.0,22515.0,2.0
190,Desktop,13.0,2.5,4746.0,26188.0,2.0
191,Mobile,16.0,1.2,4384.0,16416.0,1.0
192,Mobile,163.0,11.3,6582.0,203090.0,4.0
193,Mobile,14.0,2.6,4206.0,37033.0,2.0
194,Desktop,5.0,26.5,9737.0,581460.0,6.0
195,Mobile,11.0,1.7,3460.0,10886.0,1.0
196,Desktop,277.0,0.2,3416.0,1904.0,1.0
197,Desktop,144.0,16.5,5945.0,319456.0,2.0
198,Mobile,327.0,0.2,2054.0,1244.0,1.0
199,Mobile,18.0,18.9,4939.0,159236.0,4.0
200,Desktop,6.0,1.3,4189.0,14296.0,3.0
201,Mobile,45.0,13.2,5283.0,204532.0,4.0
202,Tablet,10.0,2.6,4031.0,28398.0,2.0
203,Desktop,150.0,11.8,6296.0,213246.0,4.0
204,Desktop,32.0,13.7,5354.0,252384.0,4.0
205,Desktop,11.0,2.9,3917.0,27266.0,2.0
206,Desktop,102.0,6.3,5911.0,72746.0,4.0
207,Desktop,43.0,11.8,5159.0,161409.0,4.0
208,Desktop,17.0,1.3,4412.0,15484.0,1.0
209,Desktop,10.0,22.0,9669.0,468890.0,6.0
210,Tablet,4.0,2.4,4232.0,21090.0,3.0
211,Mobile,11.0,1.5,4287.0,19333.0,1.0
212,Mobile,19.0,17.1,7830.0,404631.0,6.0
213,Desktop,13.0,16.7,9215.0,320144.0,4.0
214,Tablet,31.0,18.9,5404.0,341602.0,3.0
215,Mobile,168.0,11.7,7001.0,260343.0,3.0
216,Mobile,111.0,7.7,6022.0,70339.0,3.0
