order_id,order_date,customer_id,sku,product_name,category,quantity,unit_price_kes
1,2025-02-15,1133,E02,Screen Protector,Electronics,1,350
1,2025-02-15,1133,H06,Tea Infuser,Home & Kitchen,1,450
1,2025-02-15,1133,E04,Fast Phone Charger,Electronics,1,1200
2,2025-05-21,385,O01,Laptop Bag,Office,1,3200
2,2025-05-21,385,O02,Wireless Mouse,Office,1,1400
2,2025-05-21,385,O03,Laptop Stand,Office,1,2100
3,2025-03-01,1039,H03,Electric Kettle,Home & Kitchen,1,3200
3,2025-03-01,1039,E02,Screen Protector,Electronics,1,350
3,2025-03-01,1039,F05,Yoga Mat,Fitness,2,2200
4,2025-01-30,811,E02,Screen Protector,Electronics,1,350
4,2025-01-30,811,P05,Extra Camera Battery,Photography,1,2600
4,2025-01-30,811,P03,Camera Bag,Photography,1,3800
4,2025-01-30,811,F07,Gym Bag,Fitness,1,2600
5,2025-01-31,147,E09,USB-C Cable,Electronics,1,450
5,2025-01-31,147,E06,Bluetooth Speaker,Electronics,1,4200
5,2025-01-31,147,E05,Power Bank 10000mAh,Electronics,1,2800
6,2025-03-12,1541,E07,Smartwatch,Electronics,1,6500
6,2025-03-12,1541,E08,Smartwatch Replacement Band,Electronics,1,900
7,2025-03-18,153,H03,Electric Kettle,Home & Kitchen,1,3200
7,2025-03-18,153,H06,Tea Infuser,Home & Kitchen,1,450
8,2025-03-12,1049,H05,Travel Mug,Home & Kitchen,1,900
8,2025-03-12,1049,H06,Tea Infuser,Home & Kitchen,1,450
9,2025-03-21,508,H07,Milk Frother,Home & Kitchen,1,1100
10,2025-01-15,108,H01,Coffee Maker,Home & Kitchen,1,5500
10,2025-01-15,108,H02,Coffee Pods (Pack of 20),Home & Kitchen,1,1200
10,2025-01-15,108,H04,Blender,Home & Kitchen,1,4800
11,2025-01-22,1410,H03,Electric Kettle,Home & Kitchen,1,3200
11,2025-01-22,1410,H06,Tea Infuser,Home & Kitchen,1,450
12,2025-04-26,494,F01,Running Shoes,Fitness,1,7500
12,2025-04-26,494,F02,Running Socks (3-Pack),Fitness,1,950
12,2025-04-26,494,E01,Phone Case,Electronics,1,800
13,2025-01-08,1036,F01,Running Shoes,Fitness,1,7500
13,2025-01-08,1036,F02,Running Socks (3-Pack),Fitness,1,950
14,2025-06-21,79,P01,Digital Camera,Photography,2,45000
14,2025-06-21,79,P02,Memory Card 128GB,Photography,1,2200
14,2025-06-21,79,P03,Camera Bag,Photography,1,3800
15,2025-05-07,112,E07,Smartwatch,Electronics,1,6500
15,2025-05-07,112,E10,Laptop Sleeve,Electronics,1,1800
15,2025-05-07,112,H04,Blender,Home & Kitchen,2,4800
15,2025-05-07,112,E05,Power Bank 10000mAh,Electronics,2,2800
16,2025-02-06,1084,H01,Coffee Maker,Home & Kitchen,2,5500
16,2025-02-06,1084,H02,Coffee Pods (Pack of 20),Home & Kitchen,2,1200
17,2025-02-15,111,O01,Laptop Bag,Office,1,3200
17,2025-02-15,111,O02,Wireless Mouse,Office,1,1400
17,2025-02-15,111,O03,Laptop Stand,Office,1,2100
18,2025-05-24,106,O05,Desk Lamp,Office,1,1800
19,2025-01-09,295,E07,Smartwatch,Electronics,1,6500
19,2025-01-09,295,E08,Smartwatch Replacement Band,Electronics,1,900
20,2025-04-20,1541,F04,Fitness Tracker,Fitness,1,4500
20,2025-04-20,1541,F03,Sports Water Bottle,Fitness,1,700
21,2025-03-07,981,F01,Running Shoes,Fitness,1,7500
21,2025-03-07,981,F02,Running Socks (3-Pack),Fitness,1,950
21,2025-03-07,981,F03,Sports Water Bottle,Fitness,1,700
22,2025-01-30,954,P01,Digital Camera,Photography,1,45000
23,2025-01-13,45,E02,Screen Protector,Electronics,2,350
