basket_id,transaction_date,item_id,item_name,category,unit_price_kes
1,2025-04-01,G05,Coffee,Beverages,450
1,2025-04-01,G07,Sugar 1kg,Pantry,150
2,2025-01-04,G05,Coffee,Beverages,450
2,2025-01-04,G07,Sugar 1kg,Pantry,150
3,2025-02-03,G18,Rice 2kg,Pantry,250
3,2025-02-03,G19,Cooking Oil 1L,Pantry,300
3,2025-02-03,G20,Onions 1kg,Produce,80
4,2025-02-09,G01,White Bread,Bakery,60
4,2025-02-09,G02,Butter,Dairy,180
4,2025-02-09,G03,Milk 1L,Dairy,120
5,2025-04-12,G11,Potato Chips,Snacks,150
5,2025-04-12,G09,Tomato Sauce,Pantry,90
6,2025-04-28,G03,Milk 1L,Dairy,120
7,2025-05-07,G11,Potato Chips,Snacks,150
7,2025-05-07,G12,Salsa Dip,Snacks,200
8,2025-01-30,G16,Baby Wipes,Baby Care,350
9,2025-02-23,G03,Milk 1L,Dairy,120
9,2025-02-23,G13,Soda 2L,Beverages,150
9,2025-02-23,G15,Beer (6-Pack),Alcohol,800
9,2025-02-23,G09,Tomato Sauce,Pantry,90
10,2025-01-26,G16,Baby Wipes,Baby Care,350
10,2025-01-26,G14,Baby Diapers,Baby Care,1200
10,2025-01-26,G17,Baby Formula,Baby Care,1500
10,2025-01-26,G10,Parmesan Cheese,Dairy,400
11,2025-04-07,G09,Tomato Sauce,Pantry,90
11,2025-04-07,G12,Salsa Dip,Snacks,200
11,2025-04-07,G14,Baby Diapers,Baby Care,1200
11,2025-04-07,G01,White Bread,Bakery,60
12,2025-06-27,G01,White Bread,Bakery,60
12,2025-06-27,G02,Butter,Dairy,180
12,2025-06-27,G03,Milk 1L,Dairy,120
12,2025-06-27,G04,Eggs (Tray),Dairy,350
13,2025-03-10,G20,Onions 1kg,Produce,80
13,2025-03-10,G10,Parmesan Cheese,Dairy,400
13,2025-03-10,G13,Soda 2L,Beverages,150
13,2025-03-10,G18,Rice 2kg,Pantry,250
14,2025-05-26,G16,Baby Wipes,Baby Care,350
14,2025-05-26,G14,Baby Diapers,Baby Care,1200
15,2025-05-02,G18,Rice 2kg,Pantry,250
15,2025-05-02,G19,Cooking Oil 1L,Pantry,300
15,2025-05-02,G20,Onions 1kg,Produce,80
16,2025-02-22,G16,Baby Wipes,Baby Care,350
16,2025-02-22,G14,Baby Diapers,Baby Care,1200
17,2025-04-30,G10,Parmesan Cheese,Dairy,400
17,2025-04-30,G16,Baby Wipes,Baby Care,350
17,2025-04-30,G11,Potato Chips,Snacks,150
18,2025-06-24,G14,Baby Diapers,Baby Care,1200
18,2025-06-24,G15,Beer (6-Pack),Alcohol,800
19,2025-01-02,G11,Potato Chips,Snacks,150
19,2025-01-02,G12,Salsa Dip,Snacks,200
20,2025-02-26,G18,Rice 2kg,Pantry,250
21,2025-01-14,G16,Baby Wipes,Baby Care,350
21,2025-01-14,G01,White Bread,Bakery,60
21,2025-01-14,G08,Pasta,Pantry,120
21,2025-01-14,G18,Rice 2kg,Pantry,250
22,2025-02-16,G14,Baby Diapers,Baby Care,1200
23,2025-03-03,G05,Coffee,Beverages,450
23,2025-03-03,G07,Sugar 1kg,Pantry,150
24,2025-05-14,G01,White Bread,Bakery,60
24,2025-05-14,G02,Butter,Dairy,180
24,2025-05-14,G03,Milk 1L,Dairy,120
25,2025-03-24,G18,Rice 2kg,Pantry,250
25,2025-03-24,G19,Cooking Oil 1L,Pantry,300
25,2025-03-24,G20,Onions 1kg,Produce,80
26,2025-05-20,G01,White Bread,Bakery,60
26,2025-05-20,G02,Butter,Dairy,180
26,2025-05-20,G03,Milk 1L,Dairy,120
27,2025-06-17,G11,Potato Chips,Snacks,150
27,2025-06-17,G12,Salsa Dip,Snacks,200
28,2025-06-22,G04,Eggs (Tray),Dairy,350
29,2025-02-25,G16,Baby Wipes,Baby Care,350
29,2025-02-25,G14,Baby Diapers,Baby Care,1200
29,2025-02-25,G17,Baby Formula,Baby Care,1500
30,2025-06-11,G16,Baby Wipes,Baby Care,350
30,2025-06-11,G14,Baby Diapers,Baby Care,1200
31,2025-03-05,G16,Baby Wipes,Baby Care,350
31,2025-03-05,G14,Baby Diapers,Baby Care,1200
32,2025-05-16,G13,Soda 2L,Beverages,150
33,2025-02-04,G11,Potato Chips,Snacks,150
33,2025-02-04,G02,Butter,Dairy,180
33,2025-02-04,G13,Soda 2L,Beverages,150
33,2025-02-04,G04,Eggs (Tray),Dairy,350
34,2025-02-16,G09,Tomato Sauce,Pantry,90
35,2025-04-10,G04,Eggs (Tray),Dairy,350
36,2025-05-10,G01,White Bread,Bakery,60
36,2025-05-10,G02,Butter,Dairy,180
36,2025-05-10,G03,Milk 1L,Dairy,120
37,2025-05-18,G16,Baby Wipes,Baby Care,350
37,2025-05-18,G14,Baby Diapers,Baby Care,1200
37,2025-05-18,G17,Baby Formula,Baby Care,1500
38,2025-04-06,G01,White Bread,Bakery,60
38,2025-04-06,G19,Cooking Oil 1L,Pantry,300
38,2025-04-06,G07,Sugar 1kg,Pantry,150
38,2025-04-06,G16,Baby Wipes,Baby Care,350
39,2025-04-28,G08,Pasta,Pantry,120
39,2025-04-28,G05,Coffee,Beverages,450
39,2025-04-28,G20,Onions 1kg,Produce,80
40,2025-01-23,G08,Pasta,Pantry,120
40,2025-01-23,G09,Tomato Sauce,Pantry,90
41,2025-01-05,G14,Baby Diapers,Baby Care,1200
41,2025-01-05,G15,Beer (6-Pack),Alcohol,800
42,2025-06-10,G19,Cooking Oil 1L,Pantry,300
43,2025-05-21,G20,Onions 1kg,Produce,80
44,2025-06-22,G19,Cooking Oil 1L,Pantry,300
44,2025-06-22,G05,Coffee,Beverages,450
44,2025-06-22,G17,Baby Formula,Baby Care,1500
45,2025-01-17,G02,Butter,Dairy,180
45,2025-01-17,G13,Soda 2L,Beverages,150
45,2025-01-17,G01,White Bread,Bakery,60
