employee_id,department,years_of_experience,monthly_salary_kes,training_hours_per_year,num_direct_reports,performance_score
1,Engineering,14.6,191420.0,35.9,10.0,3.1
2,Engineering,1.7,58265.0,36.8,-0.0,3.1
3,Engineering,5.5,103637.0,17.8,0.0,2.2
4,Sales,6.6,93175.0,1.3,-0.0,3.2
5,Operations,6.2,120856.0,33.5,0.0,3.5
6,Sales,5.1,97244.0,4.7,0.0,1.5
7,Finance,9.7,154988.0,30.0,1.0,3.2
8,Finance,11.0,115763.0,26.9,2.0,4.3
9,Sales,12.1,130875.0,20.8,1.0,2.6
10,HR,7.4,117351.0,11.2,-0.0,3.5
11,Engineering,10.3,212009.0,35.0,1.0,3.7
12,Finance,11.5,108367.0,22.7,-0.0,2.5
13,Engineering,19.2,106187.0,42.7,1.0,3.7
14,Sales,0.0,84062.0,17.7,-0.0,
15,Sales,7.8,126032.0,32.4,1.0,4.8
16,Sales,5.9,125983.0,32.9,0.0,5.0
17,Engineering,10.0,108133.0,67.0,-0.0,2.4
18,Engineering,6.1,97273.0,2.9,-0.0,4.6
19,Finance,11.8,148722.0,23.0,3.0,3.4
20,Engineering,19.8,389974.0,53.7,5.0,3.4
21,Finance,6.6,121205.0,23.2,3.0,3.4
22,Engineering,4.8,109083.0,9.8,3.0,2.9
23,Finance,6.2,145172.0,35.7,1.0,4.3
24,Engineering,7.9,157566.0,8.4,2.0,2.1
25,Sales,1.2,52219.0,50.5,-0.0,3.2
26,Finance,0.7,79454.0,25.5,-0.0,4.2
27,Sales,20.8,283841.0,48.1,6.0,2.7
28,Sales,1.9,71080.0,43.8,0.0,4.2
29,Engineering,2.2,82452.0,39.7,-0.0,4.0
30,Operations,23.1,383376.0,36.9,1.0,4.9
31,Sales,4.6,207530.0,24.5,2.0,3.4
32,Sales,9.7,117917.0,7.5,0.0,5.0
33,Sales,2.3,69568.0,31.1,0.0,4.1
34,Operations,9.0,81676.0,26.0,2.0,3.5
