listening_session_id,transaction_date,track_id,item_name,category,duration_minutes
1,2025-01-18,M14,Street Beats,Hip-Hop,3
1,2025-01-18,M12,Love Story,R&B,4
2,2025-02-04,M10,Praise Medley,Gospel,7
3,2025-06-11,M09,Sunday Worship 2,Gospel,5
3,2025-06-11,M03,Cardio Beats,Fitness/EDM,4
3,2025-06-11,M01,Workout Anthem,Fitness/EDM,3
4,2025-02-28,M06,Rain Sounds,Ambient/Sleep,10
4,2025-02-28,M07,Deep Sleep,Ambient/Sleep,12
5,2025-03-25,M01,Workout Anthem,Fitness/EDM,3
5,2025-03-25,M02,Pump It Up,Fitness/EDM,3
5,2025-03-25,M03,Cardio Beats,Fitness/EDM,4
6,2025-04-21,M06,Rain Sounds,Ambient/Sleep,10
6,2025-04-21,M07,Deep Sleep,Ambient/Sleep,12
7,2025-06-03,M08,Sunday Worship 1,Gospel,5
7,2025-06-03,M09,Sunday Worship 2,Gospel,5
8,2025-03-30,M16,Gengetone Hit,Amapiano/Afrobeat,4
8,2025-03-30,M13,Hip Hop Anthem,Hip-Hop,3
8,2025-03-30,M03,Cardio Beats,Fitness/EDM,4
8,2025-03-30,M15,Amapiano Vibes,Amapiano/Afrobeat,5
9,2025-06-16,M01,Workout Anthem,Fitness/EDM,3
9,2025-06-16,M02,Pump It Up,Fitness/EDM,3
9,2025-06-16,M03,Cardio Beats,Fitness/EDM,4
10,2025-01-02,M15,Amapiano Vibes,Amapiano/Afrobeat,5
10,2025-01-02,M16,Gengetone Hit,Amapiano/Afrobeat,4
11,2025-03-04,M09,Sunday Worship 2,Gospel,5
11,2025-03-04,M01,Workout Anthem,Fitness/EDM,3
11,2025-03-04,M14,Street Beats,Hip-Hop,3
12,2025-01-26,M01,Workout Anthem,Fitness/EDM,3
12,2025-01-26,M02,Pump It Up,Fitness/EDM,3
12,2025-01-26,M03,Cardio Beats,Fitness/EDM,4
13,2025-04-08,M04,Study Focus 1,Instrumental,6
13,2025-04-08,M05,Study Focus 2,Instrumental,5
14,2025-06-06,M04,Study Focus 1,Instrumental,6
14,2025-06-06,M05,Study Focus 2,Instrumental,5
15,2025-02-04,M01,Workout Anthem,Fitness/EDM,3
15,2025-02-04,M02,Pump It Up,Fitness/EDM,3
15,2025-02-04,M03,Cardio Beats,Fitness/EDM,4
16,2025-06-23,M06,Rain Sounds,Ambient/Sleep,10
16,2025-06-23,M07,Deep Sleep,Ambient/Sleep,12
17,2025-01-24,M06,Rain Sounds,Ambient/Sleep,10
17,2025-01-24,M07,Deep Sleep,Ambient/Sleep,12
18,2025-05-20,M14,Street Beats,Hip-Hop,3
18,2025-05-20,M11,Heartbreak Ballad,R&B,4
19,2025-03-22,M11,Heartbreak Ballad,R&B,4
19,2025-03-22,M12,Love Story,R&B,4
20,2025-02-06,M04,Study Focus 1,Instrumental,6
20,2025-02-06,M09,Sunday Worship 2,Gospel,5
20,2025-02-06,M11,Heartbreak Ballad,R&B,4
21,2025-06-25,M14,Street Beats,Hip-Hop,3
21,2025-06-25,M02,Pump It Up,Fitness/EDM,3
22,2025-05-26,M02,Pump It Up,Fitness/EDM,3
22,2025-05-26,M16,Gengetone Hit,Amapiano/Afrobeat,4
23,2025-05-11,M06,Rain Sounds,Ambient/Sleep,10
23,2025-05-11,M02,Pump It Up,Fitness/EDM,3
23,2025-05-11,M12,Love Story,R&B,4
23,2025-05-11,M10,Praise Medley,Gospel,7
24,2025-06-05,M01,Workout Anthem,Fitness/EDM,3
24,2025-06-05,M02,Pump It Up,Fitness/EDM,3
24,2025-06-05,M03,Cardio Beats,Fitness/EDM,4
25,2025-06-13,M03,Cardio Beats,Fitness/EDM,4
25,2025-06-13,M16,Gengetone Hit,Amapiano/Afrobeat,4
25,2025-06-13,M13,Hip Hop Anthem,Hip-Hop,3
25,2025-06-13,M01,Workout Anthem,Fitness/EDM,3
26,2025-04-13,M08,Sunday Worship 1,Gospel,5
26,2025-04-13,M14,Street Beats,Hip-Hop,3
26,2025-04-13,M16,Gengetone Hit,Amapiano/Afrobeat,4
26,2025-04-13,M04,Study Focus 1,Instrumental,6
27,2025-01-07,M15,Amapiano Vibes,Amapiano/Afrobeat,5
