receipt_id,transaction_date,item_id,item_name,category,price_kes
1,2025-03-31,D10,Reading Glasses,Vision,600
1,2025-03-31,D17,Reading Puzzle Book,Stationery/Leisure,300
1,2025-03-31,D11,Eye Drops,Vision,250
2,2025-05-02,D14,Baby Lotion,Baby Care,350
2,2025-05-02,D15,Baby Diapers,Baby Care,1200
3,2025-05-21,D06,Hand Sanitizer,Hygiene,150
3,2025-05-21,D07,Face Masks,Hygiene,200
4,2025-05-25,D14,Baby Lotion,Baby Care,350
4,2025-05-25,D15,Baby Diapers,Baby Care,1200
5,2025-02-07,D03,Cold & Flu Syrup,Cold Remedy,350
5,2025-02-07,D04,Tissues,Cold Remedy,100
5,2025-02-07,D05,Vitamin C Tablets,Supplements,400
6,2025-04-13,D05,Vitamin C Tablets,Supplements,400
6,2025-04-13,D16,Multivitamin Gummies,Supplements,500
7,2025-01-08,D12,Bandages,First Aid,150
7,2025-01-08,D17,Reading Puzzle Book,Stationery/Leisure,300
8,2025-04-03,D12,Bandages,First Aid,150
8,2025-04-03,D10,Reading Glasses,Vision,600
8,2025-04-03,D05,Vitamin C Tablets,Supplements,400
8,2025-04-03,D04,Tissues,Cold Remedy,100
9,2025-06-20,D02,Ibuprofen,Pain Relief,150
9,2025-06-20,D04,Tissues,Cold Remedy,100
9,2025-06-20,D03,Cold & Flu Syrup,Cold Remedy,350
10,2025-02-06,D11,Eye Drops,Vision,250
10,2025-02-06,D08,Sunscreen SPF50,Skincare,800
11,2025-04-09,D08,Sunscreen SPF50,Skincare,800
12,2025-01-13,D07,Face Masks,Hygiene,200
13,2025-05-06,D12,Bandages,First Aid,150
13,2025-05-06,D13,Antiseptic Cream,First Aid,200
14,2025-03-15,D14,Baby Lotion,Baby Care,350
14,2025-03-15,D04,Tissues,Cold Remedy,100
15,2025-05-15,D06,Hand Sanitizer,Hygiene,150
15,2025-05-15,D07,Face Masks,Hygiene,200
16,2025-01-31,D06,Hand Sanitizer,Hygiene,150
16,2025-01-31,D07,Face Masks,Hygiene,200
17,2025-03-07,D10,Reading Glasses,Vision,600
17,2025-03-07,D17,Reading Puzzle Book,Stationery/Leisure,300
17,2025-03-07,D11,Eye Drops,Vision,250
18,2025-02-28,D06,Hand Sanitizer,Hygiene,150
19,2025-02-16,D09,Aloe Vera Gel,Skincare,350
20,2025-01-06,D10,Reading Glasses,Vision,600
21,2025-05-06,D09,Aloe Vera Gel,Skincare,350
21,2025-05-06,D04,Tissues,Cold Remedy,100
22,2025-05-16,D10,Reading Glasses,Vision,600
22,2025-05-16,D11,Eye Drops,Vision,250
23,2025-03-13,D12,Bandages,First Aid,150
23,2025-03-13,D13,Antiseptic Cream,First Aid,200
24,2025-06-16,D12,Bandages,First Aid,150
24,2025-06-16,D13,Antiseptic Cream,First Aid,200
25,2025-01-22,D03,Cold & Flu Syrup,Cold Remedy,350
25,2025-01-22,D04,Tissues,Cold Remedy,100
