store_id,location_type,monthly_revenue_kes,daily_foot_traffic,staff_count,store_size_sqm,avg_basket_size_kes
1,Street,542575.0,160.0,3.0,131.0,127.0
2,CBD,582367.0,759.0,9.0,171.0,50.0
3,Residential,1636580.0,403.0,7.0,451.0,120.0
4,Mall,464345.0,223.0,4.0,113.0,78.0
5,CBD,1008963.0,145.0,6.0,72.0,244.0
6,Residential,348922.0,111.0,4.0,145.0,105.0
7,CBD,471030.0,562.0,8.0,260.0,50.0
8,CBD,1090324.0,542.0,11.0,211.0,68.0
9,Mall,497883.0,252.0,4.0,131.0,72.0
10,CBD,491326.0,251.0,3.0,99.0,74.0
11,Mall,489061.0,134.0,4.0,86.0,105.0
12,Mall,998013.0,445.0,7.0,282.0,70.0
13,CBD,1050140.0,122.0,2.0,75.0,306.0
14,Mall,4788126.0,767.0,22.0,1020.0,203.0
15,Mall,482661.0,174.0,6.0,47.0,101.0
16,Street,1597563.0,334.0,9.0,330.0,164.0
17,Residential,545981.0,207.0,4.0,145.0,92.0
18,Mall,865284.0,429.0,10.0,359.0,60.0
19,CBD,1172175.0,455.0,9.0,237.0,90.0
20,Street,1392794.0,465.0,11.0,483.0,103.0
21,Residential,925243.0,165.0,5.0,93.0,199.0
22,CBD,1247148.0,176.0,6.0,139.0,
23,Mall,946867.0,95.0,5.0,76.0,301.0
24,Street,1083496.0,352.0,13.0,349.0,117.0
25,Residential,413970.0,227.0,5.0,84.0,52.0
26,CBD,1786190.0,371.0,16.0,296.0,154.0
27,Street,5592315.0,775.0,29.0,864.0,272.0
28,Residential,636936.0,662.0,10.0,236.0,50.0
29,Mall,773902.0,605.0,6.0,236.0,50.0
30,Street,408306.0,197.0,5.0,119.0,68.0
31,CBD,1150867.0,112.0,3.0,46.0,294.0
32,Street,4571586.0,1207.0,19.0,764.0,122.0
33,CBD,3264035.0,872.0,16.0,713.0,139.0
34,Residential,1519723.0,423.0,6.0,251.0,104.0
35,Mall,903455.0,117.0,4.0,61.0,228.0
36,Street,339064.0,215.0,2.0,140.0,55.0
37,Residential,470605.0,178.0,4.0,158.0,
38,CBD,1405296.0,424.0,8.0,357.0,126.0
39,Street,468688.0,236.0,4.0,48.0,57.0
40,CBD,506577.0,126.0,2.0,106.0,138.0
41,Mall,4266134.0,874.0,29.0,799.0,180.0
42,CBD,1234181.0,499.0,8.0,394.0,87.0
43,Mall,1843993.0,402.0,10.0,391.0,157.0
44,CBD,2031727.0,326.0,10.0,382.0,208.0
45,Street,1011801.0,165.0,7.0,94.0,227.0
46,CBD,1875166.0,488.0,10.0,291.0,111.0
47,Residential,998372.0,194.0,5.0,103.0,178.0
48,Mall,5431257.0,853.0,23.0,858.0,209.0
49,Mall,599661.0,683.0,11.0,230.0,50.0
50,Residential,1531267.0,406.0,8.0,335.0,129.0
51,Street,879973.0,631.0,8.0,249.0,50.0
52,Residential,832317.0,919.0,11.0,193.0,50.0
53,Street,5087351.0,1034.0,16.0,945.0,164.0
54,CBD,1580363.0,448.0,13.0,451.0,112.0
55,Residential,627100.0,739.0,8.0,254.0,50.0
56,Residential,983204.0,153.0,5.0,84.0,229.0
57,Mall,1086384.0,146.0,4.0,68.0,277.0
58,Street,755083.0,659.0,8.0,264.0,50.0
59,Mall,1189691.0,425.0,4.0,377.0,93.0
60,Mall,861950.0,137.0,6.0,77.0,
61,Street,1623949.0,414.0,8.0,350.0,134.0
62,Residential,643183.0,649.0,11.0,299.0,50.0
63,CBD,1588311.0,514.0,7.0,347.0,92.0
64,Residential,400425.0,157.0,4.0,107.0,90.0
65,Mall,439611.0,185.0,3.0,82.0,72.0
66,Residential,694697.0,729.0,6.0,271.0,50.0
67,CBD,590041.0,621.0,5.0,243.0,50.0
68,CBD,1114864.0,130.0,6.0,61.0,325.0
69,Street,476423.0,208.0,2.0,108.0,73.0
70,Street,1399039.0,309.0,13.0,273.0,170.0
71,Mall,876179.0,816.0,7.0,276.0,50.0
72,Street,1282949.0,103.0,7.0,95.0,422.0
73,CBD,1246276.0,429.0,9.0,271.0,93.0
74,Mall,1214325.0,315.0,9.0,413.0,139.0
75,Street,392978.0,172.0,4.0,74.0,70.0
76,Street,4152065.0,793.0,23.0,868.0,169.0
77,Mall,472516.0,1018.0,10.0,203.0,50.0
78,Residential,448755.0,217.0,5.0,130.0,71.0
79,Mall,614118.0,729.0,11.0,134.0,50.0
80,CBD,367097.0,242.0,4.0,125.0,50.0
81,Mall,1276711.0,433.0,10.0,288.0,100.0
82,Residential,962112.0,193.0,5.0,81.0,166.0
83,Mall,1149914.0,462.0,8.0,390.0,94.0
84,CBD,1256405.0,166.0,6.0,73.0,284.0
85,CBD,1648278.0,311.0,10.0,296.0,160.0
86,Residential,1088582.0,395.0,6.0,267.0,
87,Residential,4783915.0,871.0,24.0,849.0,186.0
88,Residential,1597508.0,407.0,16.0,213.0,145.0
89,Residential,919271.0,102.0,5.0,77.0,290.0
90,CBD,5758791.0,860.0,17.0,807.0,251.0
91,Street,1308661.0,217.0,8.0,284.0,231.0
92,Mall,1098003.0,114.0,6.0,105.0,299.0
93,CBD,1309919.0,400.0,9.0,393.0,124.0
94,CBD,1351345.0,313.0,13.0,267.0,144.0
95,CBD,4690085.0,1110.0,26.0,787.0,134.0
96,Mall,555314.0,577.0,10.0,124.0,50.0
97,Residential,4208578.0,963.0,21.0,868.0,157.0
98,CBD,522285.0,159.0,4.0,160.0,122.0
99,Residential,4090367.0,962.0,34.0,808.0,130.0
100,Street,430370.0,116.0,4.0,129.0,109.0
101,Mall,1313937.0,182.0,5.0,76.0,277.0
102,Mall,1898069.0,291.0,6.0,455.0,219.0
103,CBD,443511.0,726.0,7.0,294.0,50.0
104,Mall,1169645.0,391.0,8.0,332.0,100.0
105,Mall,639068.0,669.0,8.0,322.0,50.0
106,Mall,1424914.0,368.0,11.0,349.0,122.0
107,Street,1465387.0,371.0,8.0,225.0,138.0
108,Mall,1614749.0,327.0,10.0,291.0,169.0
109,Mall,1746747.0,489.0,11.0,327.0,132.0
110,Mall,495793.0,161.0,3.0,101.0,88.0
111,Mall,1211913.0,166.0,5.0,99.0,240.0
112,Street,1219044.0,317.0,11.0,283.0,142.0
113,Street,1762804.0,417.0,9.0,219.0,160.0
114,CBD,1444517.0,529.0,13.0,327.0,92.0
115,Street,439915.0,226.0,4.0,50.0,72.0
116,Residential,958544.0,140.0,5.0,84.0,207.0
117,Mall,679948.0,832.0,9.0,200.0,50.0
118,Mall,1367014.0,311.0,13.0,246.0,162.0
119,CBD,708754.0,658.0,11.0,226.0,50.0
120,Street,1489738.0,143.0,6.0,94.0,372.0
121,Mall,1167573.0,127.0,5.0,83.0,288.0
122,Mall,670607.0,401.0,8.0,300.0,53.0
123,Street,1142283.0,416.0,11.0,271.0,86.0
124,Street,4240457.0,798.0,20.0,906.0,180.0
125,CBD,584328.0,81.0,3.0,78.0,248.0
126,Residential,4362424.0,833.0,20.0,834.0,173.0
127,Mall,1822254.0,424.0,10.0,332.0,157.0
128,Mall,4708777.0,885.0,26.0,742.0,203.0
129,Street,1304253.0,388.0,13.0,348.0,120.0
130,Mall,1268228.0,359.0,14.0,245.0,116.0
131,Street,951377.0,160.0,6.0,73.0,221.0
132,Street,405864.0,171.0,3.0,100.0,78.0
133,Mall,577735.0,619.0,11.0,221.0,50.0
134,Mall,458696.0,294.0,3.0,85.0,50.0
135,CBD,429257.0,171.0,6.0,120.0,
136,Mall,1076277.0,480.0,11.0,331.0,67.0
137,CBD,409939.0,138.0,4.0,133.0,90.0
138,Mall,1467955.0,293.0,9.0,258.0,160.0
139,Mall,1258815.0,156.0,2.0,37.0,308.0
140,Mall,340795.0,205.0,4.0,104.0,
141,Mall,862360.0,357.0,10.0,247.0,71.0
142,Mall,1730635.0,429.0,10.0,334.0,148.0
143,Mall,683440.0,851.0,8.0,210.0,50.0
144,Mall,689851.0,678.0,6.0,199.0,50.0
145,CBD,1615104.0,366.0,10.0,199.0,134.0
146,Mall,908790.0,119.0,7.0,126.0,265.0
147,Residential,506942.0,99.0,4.0,155.0,147.0
148,CBD,1363881.0,290.0,11.0,318.0,
149,Mall,1055429.0,514.0,10.0,321.0,68.0
150,Street,461111.0,218.0,4.0,123.0,
151,Residential,598467.0,183.0,2.0,144.0,110.0
152,Mall,289276.0,162.0,3.0,114.0,67.0
153,Mall,492560.0,694.0,7.0,119.0,50.0
154,Street,388803.0,152.0,5.0,97.0,88.0
155,Mall,1416419.0,160.0,3.0,82.0,310.0
156,Residential,1244332.0,423.0,12.0,374.0,87.0
157,Residential,1140720.0,422.0,8.0,291.0,102.0
158,Street,422156.0,200.0,4.0,152.0,71.0
159,Street,1258690.0,354.0,10.0,320.0,128.0
160,Street,1333742.0,475.0,8.0,301.0,99.0
161,Residential,5274443.0,622.0,19.0,1028.0,
162,Mall,809324.0,732.0,10.0,267.0,50.0
163,Street,547071.0,203.0,5.0,97.0,88.0
164,Street,434461.0,169.0,5.0,110.0,76.0
165,CBD,736665.0,610.0,5.0,200.0,50.0
166,Street,1087805.0,167.0,8.0,317.0,200.0
167,Mall,565703.0,630.0,10.0,238.0,50.0
168,Residential,364687.0,140.0,3.0,94.0,76.0
169,CBD,1193091.0,244.0,9.0,372.0,147.0
170,Street,4546434.0,765.0,18.0,936.0,190.0
171,Mall,1218858.0,500.0,12.0,374.0,87.0
172,Mall,1247359.0,462.0,11.0,258.0,99.0
173,Street,5347648.0,1144.0,23.0,852.0,168.0
174,CBD,746372.0,700.0,4.0,172.0,50.0
175,Mall,763385.0,826.0,8.0,205.0,50.0
176,Residential,1391045.0,168.0,7.0,85.0,246.0
177,Residential,718911.0,607.0,8.0,273.0,50.0
178,Mall,462257.0,207.0,6.0,104.0,64.0
179,Residential,589193.0,89.0,5.0,119.0,243.0
180,Street,4963742.0,954.0,28.0,920.0,167.0
181,Mall,1311462.0,393.0,13.0,276.0,122.0
182,Mall,1155233.0,207.0,4.0,127.0,169.0
183,Street,1331329.0,307.0,8.0,245.0,146.0
184,CBD,516774.0,820.0,6.0,140.0,50.0
185,Mall,358220.0,183.0,4.0,147.0,64.0
186,CBD,703795.0,727.0,9.0,198.0,50.0
187,Mall,846585.0,84.0,6.0,97.0,347.0
188,CBD,1146460.0,154.0,6.0,84.0,258.0
189,Mall,1178690.0,122.0,5.0,83.0,330.0
190,Mall,324747.0,148.0,4.0,115.0,64.0
191,CBD,1590289.0,579.0,8.0,326.0,94.0
192,CBD,558449.0,553.0,8.0,169.0,50.0
193,Mall,506291.0,179.0,4.0,100.0,82.0
194,Mall,753975.0,697.0,6.0,237.0,50.0
195,Mall,411113.0,176.0,3.0,141.0,81.0
196,Mall,1105061.0,125.0,6.0,112.0,311.0
197,Mall,4186764.0,833.0,23.0,952.0,147.0
198,Mall,437350.0,91.0,3.0,126.0,153.0
199,Mall,1373640.0,407.0,10.0,382.0,117.0
200,Street,5403798.0,739.0,15.0,881.0,230.0
201,Street,1260612.0,360.0,13.0,212.0,127.0
202,Residential,1388786.0,539.0,13.0,353.0,86.0
203,Street,544131.0,716.0,9.0,238.0,50.0
204,Mall,374904.0,151.0,4.0,117.0,89.0
205,Street,751916.0,102.0,4.0,85.0,280.0
206,Street,5672492.0,901.0,20.0,962.0,215.0
207,Street,1365707.0,248.0,12.0,344.0,201.0
208,Residential,1260377.0,170.0,2.0,78.0,221.0
209,Residential,566627.0,603.0,7.0,315.0,50.0
210,Mall,467949.0,234.0,4.0,120.0,75.0
211,Street,1301525.0,310.0,11.0,282.0,131.0
212,Mall,634442.0,507.0,6.0,198.0,50.0
213,Street,1433642.0,406.0,14.0,264.0,102.0
214,CBD,680791.0,605.0,8.0,266.0,50.0
215,Mall,1422915.0,408.0,8.0,309.0,109.0
216,Residential,471383.0,590.0,6.0,192.0,50.0
217,Street,1075345.0,164.0,5.0,121.0,206.0
218,CBD,451040.0,147.0,2.0,119.0,105.0
219,Mall,444436.0,208.0,3.0,99.0,81.0
220,Mall,1190437.0,144.0,5.0,101.0,290.0
221,CBD,465157.0,238.0,4.0,104.0,59.0
222,Mall,452005.0,158.0,4.0,155.0,91.0
223,CBD,1667211.0,484.0,12.0,247.0,123.0
224,CBD,3263333.0,1041.0,16.0,958.0,95.0
225,Residential,1414093.0,353.0,8.0,349.0,133.0
226,Mall,340919.0,106.0,3.0,106.0,105.0
227,Mall,1363798.0,334.0,9.0,418.0,152.0
228,Mall,534667.0,667.0,7.0,151.0,50.0
229,Residential,1292466.0,373.0,6.0,351.0,128.0
230,CBD,346516.0,222.0,3.0,78.0,52.0
231,CBD,920967.0,170.0,6.0,69.0,200.0
232,Street,1037787.0,170.0,7.0,110.0,215.0
233,Street,369293.0,236.0,5.0,129.0,54.0
234,Street,801838.0,193.0,6.0,92.0,149.0
235,CBD,3762876.0,741.0,27.0,966.0,185.0
236,CBD,651237.0,740.0,8.0,224.0,50.0
237,Mall,1210557.0,112.0,4.0,64.0,371.0
238,Mall,423526.0,516.0,7.0,196.0,50.0
239,Street,1071232.0,374.0,8.0,371.0,91.0
240,Mall,1672046.0,513.0,9.0,359.0,111.0
241,CBD,1415692.0,415.0,7.0,389.0,127.0
242,Mall,454375.0,558.0,6.0,295.0,50.0
243,CBD,395371.0,218.0,6.0,95.0,58.0
244,Street,647078.0,753.0,7.0,206.0,50.0
245,Street,1666813.0,519.0,9.0,340.0,96.0
246,Mall,1808899.0,400.0,10.0,310.0,134.0
247,Street,449895.0,165.0,4.0,127.0,104.0
248,CBD,1030213.0,146.0,3.0,76.0,259.0
249,CBD,435181.0,135.0,4.0,118.0,123.0
250,Mall,1207011.0,338.0,8.0,292.0,108.0
251,Street,4244038.0,772.0,23.0,925.0,
252,Street,1033476.0,146.0,7.0,113.0,201.0
253,Street,1457310.0,272.0,12.0,329.0,189.0
254,Street,328924.0,189.0,4.0,120.0,53.0
255,Residential,4496247.0,1209.0,23.0,729.0,130.0
256,Residential,566256.0,701.0,10.0,336.0,50.0
257,Mall,502820.0,144.0,2.0,90.0,129.0
258,Residential,1690028.0,326.0,9.0,282.0,178.0
259,CBD,537109.0,738.0,9.0,295.0,50.0
260,Residential,575287.0,631.0,7.0,255.0,
261,CBD,847348.0,122.0,3.0,83.0,234.0
262,Street,1139605.0,101.0,5.0,61.0,350.0
263,Mall,1311243.0,506.0,10.0,197.0,95.0
264,Street,479323.0,127.0,5.0,151.0,115.0
265,CBD,1230758.0,187.0,4.0,99.0,219.0
266,Mall,361055.0,171.0,4.0,101.0,
267,Street,609241.0,839.0,6.0,226.0,50.0
268,Mall,1180444.0,444.0,11.0,278.0,87.0
269,Residential,1465368.0,274.0,10.0,292.0,198.0
270,Residential,549854.0,877.0,9.0,318.0,50.0
271,Mall,449108.0,865.0,9.0,290.0,50.0
272,Residential,5445971.0,961.0,23.0,841.0,182.0
273,Mall,812327.0,114.0,5.0,75.0,239.0
274,Mall,257752.0,147.0,5.0,125.0,62.0
275,Residential,452121.0,720.0,13.0,181.0,50.0
276,CBD,487043.0,132.0,2.0,100.0,105.0
277,Street,5960261.0,1029.0,28.0,904.0,190.0
278,CBD,605663.0,668.0,9.0,222.0,50.0
279,Mall,1491469.0,427.0,9.0,342.0,106.0
280,Mall,1266637.0,156.0,5.0,123.0,282.0
281,CBD,553951.0,195.0,3.0,66.0,84.0
282,Residential,1061660.0,392.0,11.0,254.0,77.0
283,CBD,452809.0,199.0,4.0,88.0,68.0
284,Residential,4309575.0,1127.0,27.0,793.0,114.0
285,Street,546773.0,202.0,4.0,136.0,78.0
286,Street,1472255.0,512.0,10.0,282.0,105.0
287,Street,750512.0,780.0,9.0,293.0,
288,CBD,533975.0,215.0,3.0,67.0,72.0
289,Residential,528289.0,200.0,5.0,105.0,76.0
290,Street,1470650.0,343.0,9.0,339.0,144.0
291,Mall,1075337.0,170.0,6.0,91.0,198.0
292,Mall,524354.0,84.0,4.0,116.0,187.0
293,CBD,1011642.0,352.0,13.0,259.0,
294,Street,1009939.0,148.0,6.0,71.0,205.0
295,CBD,1636138.0,544.0,11.0,300.0,92.0
296,Street,930771.0,148.0,4.0,118.0,217.0
297,Street,1118202.0,317.0,10.0,249.0,105.0
298,Mall,1265371.0,147.0,5.0,78.0,300.0
299,Mall,5097802.0,1039.0,18.0,670.0,157.0
300,Street,750368.0,134.0,5.0,97.0,213.0
301,CBD,1210591.0,474.0,9.0,339.0,85.0
302,Street,1552130.0,501.0,8.0,210.0,110.0
303,Residential,898749.0,122.0,6.0,110.0,223.0
304,Mall,1455113.0,423.0,10.0,359.0,100.0
305,CBD,1692252.0,463.0,14.0,453.0,125.0
306,Residential,3858552.0,733.0,19.0,901.0,199.0
307,Mall,1422151.0,488.0,10.0,297.0,90.0
308,Mall,1260550.0,145.0,5.0,135.0,324.0
309,Mall,880966.0,712.0,7.0,170.0,50.0
310,Street,890995.0,130.0,5.0,114.0,252.0
311,Street,1474213.0,517.0,9.0,397.0,100.0
312,Mall,1737148.0,367.0,10.0,354.0,143.0
313,CBD,629973.0,630.0,11.0,231.0,50.0
314,CBD,857913.0,679.0,8.0,267.0,50.0
315,Street,1031668.0,137.0,4.0,78.0,229.0
316,Mall,524371.0,644.0,9.0,236.0,50.0
317,Street,550480.0,176.0,4.0,151.0,98.0
318,CBD,1496962.0,370.0,13.0,389.0,131.0
319,Mall,606358.0,717.0,8.0,227.0,
320,CBD,824056.0,643.0,8.0,263.0,50.0
321,CBD,613070.0,662.0,9.0,255.0,50.0
322,Mall,471727.0,188.0,4.0,75.0,87.0
323,Mall,4595373.0,907.0,23.0,822.0,147.0
324,Mall,1670940.0,400.0,11.0,369.0,157.0
325,Mall,1423860.0,393.0,7.0,257.0,113.0
326,CBD,4194492.0,697.0,19.0,798.0,216.0
327,Mall,1069412.0,384.0,11.0,231.0,102.0
328,Mall,612577.0,580.0,9.0,291.0,50.0
329,CBD,1168280.0,332.0,11.0,235.0,132.0
330,Street,1257358.0,117.0,4.0,71.0,336.0
331,CBD,1364358.0,442.0,10.0,270.0,103.0
332,CBD,504451.0,177.0,3.0,108.0,83.0
333,Street,1284480.0,344.0,10.0,214.0,140.0
334,Mall,1275390.0,163.0,3.0,71.0,288.0
335,CBD,526031.0,153.0,3.0,74.0,120.0
336,Residential,469850.0,125.0,5.0,108.0,121.0
337,Mall,1117379.0,104.0,5.0,100.0,411.0
338,CBD,1588458.0,531.0,11.0,409.0,85.0
339,Street,398809.0,181.0,5.0,112.0,69.0
340,Street,1426302.0,338.0,9.0,285.0,131.0
341,Residential,1052061.0,356.0,11.0,196.0,87.0
342,Mall,3586958.0,1201.0,25.0,722.0,104.0
343,Mall,731298.0,705.0,5.0,258.0,50.0
344,Mall,1252610.0,324.0,14.0,429.0,131.0
345,Mall,1152353.0,365.0,8.0,398.0,121.0
346,CBD,405372.0,215.0,5.0,106.0,57.0
347,CBD,1129013.0,159.0,3.0,89.0,260.0
348,Mall,1196316.0,126.0,3.0,117.0,298.0
349,Street,481438.0,103.0,4.0,53.0,171.0
350,Mall,473958.0,211.0,5.0,127.0,84.0
351,CBD,448332.0,178.0,4.0,111.0,78.0
352,Street,1496835.0,474.0,9.0,329.0,93.0
353,Mall,418145.0,177.0,5.0,119.0,77.0
354,Street,551528.0,537.0,9.0,204.0,50.0
355,Residential,1589894.0,261.0,7.0,301.0,222.0
356,CBD,418794.0,151.0,5.0,133.0,94.0
357,CBD,1629265.0,285.0,9.0,290.0,181.0
358,Street,360746.0,517.0,5.0,156.0,50.0
359,Mall,1420967.0,194.0,5.0,97.0,256.0
360,Street,545826.0,733.0,3.0,181.0,50.0
361,Residential,5453070.0,724.0,18.0,805.0,273.0
362,Residential,383546.0,123.0,5.0,104.0,117.0
363,Street,726437.0,137.0,3.0,84.0,200.0
364,CBD,819535.0,585.0,9.0,225.0,50.0
365,CBD,311140.0,178.0,5.0,104.0,54.0
366,CBD,317961.0,195.0,4.0,134.0,54.0
367,Residential,3839463.0,961.0,27.0,914.0,142.0
368,Mall,1028570.0,335.0,12.0,378.0,116.0
369,Mall,4822260.0,653.0,27.0,915.0,281.0
370,CBD,813919.0,164.0,6.0,105.0,186.0
371,CBD,1353021.0,511.0,10.0,183.0,81.0
372,Mall,700321.0,724.0,8.0,168.0,
373,Residential,311614.0,161.0,5.0,86.0,65.0
374,CBD,797944.0,568.0,6.0,267.0,52.0
375,Mall,1667677.0,274.0,10.0,264.0,227.0
376,Mall,1735949.0,291.0,11.0,413.0,182.0
377,Residential,387003.0,116.0,4.0,66.0,118.0
378,Residential,480411.0,188.0,4.0,80.0,92.0
