viewing_session_id,transaction_date,show_id,item_name,category,avg_episode_minutes
1,2025-05-07,S05,Office Antics,Sitcom,22
1,2025-05-07,S02,The Detective,Crime Drama,50
1,2025-05-07,S08,Time Anomaly,Sci-Fi,48
2,2025-06-11,S04,Laugh Track,Sitcom,25
2,2025-06-11,S05,Office Antics,Sitcom,22
3,2025-01-11,S01,Crime City,Crime Drama,45
3,2025-01-11,S02,The Detective,Crime Drama,50
3,2025-01-11,S03,Silent Witness Redux,Crime Drama,42
4,2025-06-26,S09,Toon Town,Kids,20
4,2025-06-26,S14,Parenting Unscripted,Reality TV,35
5,2025-05-20,S12,Love Island Nairobi,Reality TV,45
5,2025-05-20,S07,Galactic Wars,Sci-Fi,60
6,2025-03-17,S04,Laugh Track,Sitcom,25
6,2025-03-17,S05,Office Antics,Sitcom,22
6,2025-03-17,S01,Crime City,Crime Drama,45
7,2025-01-03,S11,Real Life Diaries,Reality TV,40
7,2025-01-03,S12,Love Island Nairobi,Reality TV,45
8,2025-06-02,S09,Toon Town,Kids,20
8,2025-06-02,S10,Little Explorers,Kids,18
9,2025-03-22,S09,Toon Town,Kids,20
9,2025-03-22,S10,Little Explorers,Kids,18
10,2025-06-08,S02,The Detective,Crime Drama,50
11,2025-03-28,S11,Real Life Diaries,Reality TV,40
12,2025-05-18,S09,Toon Town,Kids,20
12,2025-05-18,S14,Parenting Unscripted,Reality TV,35
13,2025-02-11,S01,Crime City,Crime Drama,45
13,2025-02-11,S02,The Detective,Crime Drama,50
13,2025-02-11,S03,Silent Witness Redux,Crime Drama,42
14,2025-01-03,S09,Toon Town,Kids,20
14,2025-01-03,S14,Parenting Unscripted,Reality TV,35
15,2025-04-09,S01,Crime City,Crime Drama,45
15,2025-04-09,S02,The Detective,Crime Drama,50
15,2025-04-09,S03,Silent Witness Redux,Crime Drama,42
16,2025-06-20,S01,Crime City,Crime Drama,45
17,2025-06-11,S09,Toon Town,Kids,20
17,2025-06-11,S14,Parenting Unscripted,Reality TV,35
18,2025-01-30,S07,Galactic Wars,Sci-Fi,60
18,2025-01-30,S04,Laugh Track,Sitcom,25
